step,loss,direction_accuracy,token_accuracy,tau,learning_rate,timestamp
500,6.982800240516663,0.5007822850346565,0.0021545988097786905,0.0,1.503e-05,2025-08-22T00:03:41.030257
1000,6.661615083694458,0.5021452979445458,0.003602250458672643,0.0,2.9999999979273833e-05,2025-08-22T00:05:48.378496
1500,5.054751734733582,0.5101942235231399,0.03064236769080162,0.0,2.999479814036416e-05,2025-08-22T00:07:55.778438
2000,4.386856375694275,0.5142783715724945,0.051689823530614375,0.0,2.997923920274229e-05,2025-08-22T00:10:03.103861
2500,4.254550370693207,0.5174006803631782,0.05895254350453615,0.0,2.9953338521201186e-05,2025-08-22T00:12:10.458923
3000,4.202621014118194,0.5169119335412979,0.0606819955855608,0.0,2.9917121656586516e-05,2025-08-22T00:14:17.760863
3500,4.143534994125366,0.5186991147994995,0.06377005831152201,0.0,2.9870624350571132e-05,2025-08-22T00:16:25.117656
4000,4.140042519092559,0.5198429515361785,0.0639877685084939,0.0,2.9813892490382387e-05,2025-08-22T00:18:32.461528
4500,4.126370011329651,0.5174779806733132,0.06436692702025175,0.0,2.9746982063516963e-05,2025-08-22T00:20:39.804086
5000,4.081004041194916,0.5183243591189385,0.06547064524888992,0.0,2.9669959102487985e-05,2025-08-22T00:22:47.158722
5500,4.074371245384216,0.5193698579072952,0.06832974503934383,0.0,2.9582899619658894e-05,2025-08-22T00:24:56.192531
6000,4.072910313606262,0.5198507777452469,0.06906702494621277,0.0,2.948588953222842e-05,2025-08-22T00:27:03.398133
6500,4.064462725162506,0.5219613478183747,0.06842025370895863,0.0,2.93790245774407e-05,2025-08-22T00:29:10.628265
7000,4.058889531135559,0.5210944191813469,0.06911986240744591,0.0,2.9262410218104133e-05,2025-08-22T00:31:17.860750
7500,4.043985315322876,0.5204642809033394,0.07043737715482712,0.0,2.9136161538512364e-05,2025-08-22T00:33:25.058702
8000,4.020653824329377,0.5201134987473488,0.06963453958183527,0.0,2.900040313086996e-05,2025-08-22T00:35:32.306076
8500,4.041360105991363,0.5204476473927497,0.068288649097085,0.0,2.8855268972334965e-05,2025-08-22T00:37:39.558625
9000,4.028077569484711,0.5214359058141709,0.0693840504437685,0.0,2.8700902292799585e-05,2025-08-22T00:39:46.778453
9500,4.009883071899414,0.5198781772851944,0.07066536145657301,0.0,2.8537455433539604e-05,2025-08-22T00:41:54.292659
10000,4.007808412075042,0.520066043496132,0.07066731838136911,0.0,2.8365089696871943e-05,2025-08-22T00:44:01.649883
10500,4.008698453426361,0.520560171365738,0.07032289565354585,0.0,2.818397518696871e-05,2025-08-22T00:46:10.441064
11000,3.9893667182922363,0.5218786652684212,0.0724085120409727,0.0,2.7994290641984977e-05,2025-08-22T00:48:17.781015
11500,4.004070338726044,0.521894809961319,0.06992025395482779,0.0,2.779622325766574e-05,2025-08-22T00:50:25.008983
12000,3.9861811594963075,0.5217940259575844,0.07185909912735224,0.0,2.7589968502606363e-05,2025-08-22T00:52:32.256777
